2,0,1,1,0,484,1148,160,23,0,1,1,23,28,21,0,50,69,39,17,20,3,9,4,1,6,11,3,3,14,22,20,16,8,19,23,21,17,20,27,23,27,16,25,25,26,27,5,5,1,3,4,5,7,11,7,10,147,123,149,133,4,0,1,5,0,1000,1426,357,239,1,1,1,432,53,40,0,19,251,47,35,1.34,9,0,2,0,5,5,46,0,1,410,543,0,27.8,17.7,82.3,94.4,162,68,0,32,49,2972,1647,22,30,80,520,327,12041,8,61,2147,9.29e+03,197,78,976,62,0,0
2,0,0,0,0,718,2017,276,32,2,2,1,31,34,19,0,71,77,33,20,22,2,4,3,0,9,10,6,6,33,32,36,30,20,39,27,30,26,36,42,28,38,32,31,32,38,34,5,8,14,12,7,5,11,7,12,12,176,207,197,206,4,0,0,5,0,1465,2506,570,337,3,2,2,677,71,40,0,21,442,53,17,1.42,12,0,2,0,5,5,42,0,0,316,391,0,32.5,17.2,82.8,94.5,161,0,0,0,0,2483,1171,19,16,64,348,417,12693,0,0,1902,8.78e+03,167,46,724,39,0,0
2,0,0,0,0,0,0,2,0,0,4,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,12,0,0,1,4,3,0,4,3,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,66.7,33.3,33.3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
2,0,1,1,0,484,1148,160,23,0,1,1,23,28,21,0,50,69,39,17,20,3,9,4,1,6,11,3,3,14,22,20,16,8,19,23,21,17,20,27,23,27,16,25,25,26,27,5,5,1,3,4,5,7,11,7,10,147,123,149,133,4,0,1,5,0,1000,1426,357,239,1,1,1,432,53,40,0,19,251,47,35,1.34,9,0,2,0,5,5,46,0,1,410,543,0,27.8,17.7,82.3,94.4,162,68,0,32,49,2972,1647,22,30,80,520,327,12041,8,61,2147,9.29e+03,197,78,976,62,0,0
5,5,21,0,4,1292,4488,193,51,3,10,9,72,63,60,17,159,178,86,34,41,10,18,1,1,14,18,21,19,52,62,40,55,49,51,54,67,62,56,62,52,58,52,47,53,60,66,13,15,19,9,25,12,19,13,13,21,336,335,366,377,7,5,31,0,35,2601,5576,394,552,8,10,9,1173,122,105,45,28,821,11,4,1.99,12,9,0,49,5,5,45,2,31,338,351,73,31.2,17.7,82.3,98.9,369,169,13,61,208,2712,1343,16,25,65,428,427,14496,13,136,2088,6.16e+03,31,14,762,0,8,3
7,7,17,0,4,252,1257,134,17,0,12,7,13,9,11,2,40,34,15,8,19,2,1,1,0,3,4,5,1,13,15,11,9,8,11,7,8,10,7,12,16,10,8,9,10,10,11,3,4,3,3,5,3,6,4,3,5,57,74,80,63,9,7,31,0,35,500,1559,258,160,1,12,7,224,19,21,10,8,204,4,3,1.42,7,5,0,53,5,5,31,1,31,204,316,76,28.9,20,80,94.2,80,152,8,88,157,1812,993,7,15,47,308,283,7730,7,138,1337,6.19e+03,135,38,596,0,10,0
2,0,1,1,0,484,1148,160,23,0,1,1,23,28,21,0,50,69,39,17,20,3,9,4,1,6,11,3,3,14,22,20,16,8,19,23,21,17,20,27,23,27,16,25,25,26,27,5,5,1,3,4,5,7,11,7,10,147,123,149,133,4,0,1,5,0,1000,1426,357,239,1,1,1,432,53,40,0,19,251,47,35,1.34,9,0,2,0,5,5,46,0,1,410,543,0,27.8,17.7,82.3,94.4,162,68,0,32,49,2972,1647,22,30,80,520,327,12041,8,61,2147,9.29e+03,197,78,976,62,0,0
6,2,8,1,1,1555,7167,372,66,4,7,8,77,68,45,0,177,211,65,41,27,9,15,5,1,24,15,18,20,66,68,57,75,54,71,56,74,84,61,87,63,70,61,82,63,87,69,23,17,29,25,17,30,26,15,21,29,419,404,415,446,8,5,13,23,13,3139,8904,802,725,13,7,8,1467,152,107,0,62,997,44,6,1.65,20,4,0,23,5,5,49,2,13,433,452,71,31,18,82,98,374,134,0,54,83,3478,1656,16,27,79,480,448,14882,13,68,2737,4.25e+03,90,16,986,9,2,0
7,2,3,1,2,734,2185,224,30,3,5,4,33,34,33,15,88,119,38,16,13,4,17,1,1,7,9,11,6,20,38,26,30,24,29,33,44,28,27,33,24,37,28,37,41,36,37,12,5,10,7,6,8,4,13,7,11,168,210,195,213,9,2,8,10,9,1445,2750,462,296,4,5,4,654,72,68,35,20,436,20,6,1.34,3,0,0,14,5,4,37,1,8,104,182,33,29.8,22,78,92.1,209,43,4,26,15,1106,542,6,9,17,191,232,3852,6,78,674,2.83e+03,104,37,342,45,4,0
2,0,1,1,0,484,1148,160,23,0,1,1,23,28,21,0,50,69,39,17,20,3,9,4,1,6,11,3,3,14,22,20,16,8,19,23,21,17,20,27,23,27,16,25,25,26,27,5,5,1,3,4,5,7,11,7,10,147,123,149,133,4,0,1,5,0,1000,1426,357,239,1,1,1,432,53,40,0,19,251,47,35,1.34,9,0,2,0,5,5,46,0,1,410,543,0,27.8,17.7,82.3,94.4,162,68,0,32,49,2972,1647,22,30,80,520,327,12041,8,61,2147,9.29e+03,197,78,976,62,0,0
4,4,6,0,5,0,2,3,0,0,8,8,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,20,0,25,0,2,3,3,0,8,8,0,0,0,0,0,5,0,0,1,0,0,0,0,0,1,1,1,2,0,2,0,50,50,50,75,3,1,0,1,0,1,2,0,0,0,1,0,0,0,0,1,1,1,0,2,0,1,0
3,0,0,0,0,1,1,2,0,0,4,2,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,8,0,1,1,3,3,0,4,3,1,0,0,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,50,50,100,2,0,0,0,0,3,2,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0
2,0,1,1,0,484,1148,160,23,0,1,1,23,28,21,0,50,69,39,17,20,3,9,4,1,6,11,3,3,14,22,20,16,8,19,23,21,17,20,27,23,27,16,25,25,26,27,5,5,1,3,4,5,7,11,7,10,147,123,149,133,4,0,1,5,0,1000,1426,357,239,1,1,1,432,53,40,0,19,251,47,35,1.34,9,0,2,0,5,5,46,0,1,410,543,0,27.8,17.7,82.3,94.4,162,68,0,32,49,2972,1647,22,30,80,520,327,12041,8,61,2147,9.29e+03,197,78,976,62,0,0
1,0,0,0,0,887,3360,259,51,5,0,0,48,44,38,16,93,120,44,25,27,9,12,5,0,13,7,11,17,35,42,32,41,26,36,26,47,35,41,44,40,57,36,40,29,52,39,7,18,19,7,17,12,8,14,9,9,244,234,225,248,3,1,0,2,0,1767,4236,518,397,8,0,0,820,90,74,36,20,499,50,33,1.48,7,0,3,0,5,5,46,1,0,277,272,14,29.3,17.1,82.9,95.7,242,0,0,0,0,2226,1066,16,15,56,319,318,9422,0,0,1348,1.28e+03,84,64,563,0,0,0
6,3,9,0,2,1802,6081,280,57,6,7,4,74,77,42,21,220,206,84,37,30,11,26,4,1,17,21,19,17,79,75,66,93,66,87,81,85,73,89,97,54,89,64,88,68,88,84,13,14,22,26,31,23,17,20,21,19,478,517,459,482,8,6,13,7,15,3624,7543,558,699,11,7,4,1678,171,113,71,50,1093,13,2,1.97,17,3,2,17,5,5,43,2,13,469,363,110,28.6,17.7,82.3,99.1,399,185,1,31,333,4035,1848,26,42,88,556,489,17118,7,292,2212,842,48,4,942,0,6,1
1,0,1,1,0,727,1984,240,35,2,1,0,27,33,19,0,57,74,33,15,22,2,3,4,1,7,5,8,7,38,32,25,26,30,27,27,41,43,23,41,27,34,32,31,34,32,38,6,11,5,7,12,3,8,12,8,9,188,195,188,205,3,0,1,5,0,1453,2520,509,334,7,1,0,671,69,38,0,19,332,54,25,1.53,17,0,5,0,5,5,48,0,1,326,336,0,32.8,14.9,85.1,95.8,154,43,0,41,56,2928,1445,11,23,73,449,458,11073,0,15,1641,7.89e+03,153,40,670,29,0,0
4,0,1,1,0,566,1988,257,27,0,6,7,33,21,18,0,93,77,25,12,17,6,8,1,0,9,13,5,6,22,22,31,26,9,27,24,26,15,23,24,20,32,21,23,23,30,25,9,7,6,9,4,13,4,7,10,4,152,137,151,165,6,1,1,17,0,1114,2491,522,346,2,6,7,517,54,39,0,21,394,1,0,1.56,2,0,0,0,5,5,37,1,1,207,281,11,27.3,18.5,81.5,95.7,146,15,0,13,6,1574,851,9,8,43,282,207,7454,0,2,1211,5.9e+03,88,20,517,34,1,0
3,1,1,1,0,628,1249,134,27,4,5,2,27,30,20,3,63,65,31,10,17,3,4,1,0,7,7,7,6,23,18,17,27,23,30,22,27,22,26,46,30,29,31,25,22,36,28,8,5,6,6,6,7,6,6,10,4,163,188,155,150,5,2,2,7,1,1218,1568,227,272,5,5,2,558,63,41,4,18,300,4,13,1.59,9,1,0,25,5,5,51,1,2,305,301,26,31.4,17.9,82.1,99.2,131,70,0,50,48,2529,1244,7,23,45,402,420,6705,0,121,1401,500,13,19,643,0,0,0
8,0,4,7,0,766,1977,266,26,2,10,9,48,50,33,0,88,114,48,21,28,1,11,1,0,13,16,9,10,33,45,26,23,21,35,35,27,25,29,38,26,40,39,32,21,42,36,5,10,8,7,9,7,10,11,10,10,225,193,205,208,10,1,7,31,0,1521,2462,518,339,2,10,12,690,77,63,0,30,443,10,3,1.47,4,3,0,0,5,5,45,1,7,145,256,0,32.3,18.7,81.3,94.6,224,74,0,61,53,1273,674,9,16,36,223,155,4169,0,87,1077,3.07e+03,78,33,443,63,4,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100,0,100,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,1,0,244,737,126,17,0,2,0,13,11,9,2,31,34,14,3,10,0,2,0,0,3,2,6,2,13,17,11,9,9,12,6,4,6,4,11,11,7,19,8,9,14,10,4,5,3,1,4,9,1,5,2,4,52,77,70,67,4,2,2,5,1,487,942,242,157,2,2,0,220,23,21,12,10,180,16,2,1.28,1,0,0,6,4,5,66,1,2,97,120,19,30.1,21.1,78.9,93.6,63,29,1,15,14,722,369,7,5,20,112,93,2216,0,6,525,1.53e+03,64,11,236,0,2,0
8,0,4,7,0,766,1977,266,26,2,10,9,48,50,33,0,88,114,48,21,28,1,11,1,0,13,16,9,10,33,45,26,23,21,35,35,27,25,29,38,26,40,39,32,21,42,36,5,10,8,7,9,7,10,11,10,10,225,193,205,208,10,1,7,31,0,1521,2462,518,339,2,10,12,690,77,63,0,30,443,10,3,1.47,4,3,0,0,5,5,45,1,7,145,256,0,32.3,18.7,81.3,94.6,224,74,0,61,53,1273,674,9,16,36,223,155,4169,0,87,1077,3.07e+03,78,33,443,63,4,0
1,0,2,2,0,965,2558,327,41,1,1,0,53,47,37,0,99,134,71,26,32,8,17,4,0,14,9,14,16,36,39,41,37,33,41,38,46,35,25,51,32,51,40,43,33,47,50,9,10,9,13,8,20,13,16,21,14,247,265,260,279,3,0,2,4,0,1923,3166,667,454,1,1,0,854,94,80,0,43,495,66,19,1.34,7,0,1,0,5,5,51,0,2,228,227,0,28.4,19.8,80.2,93.9,292,14,0,20,0,1729,950,14,8,44,282,292,5482,3,23,1060,3.6e+03,130,44,455,14,0,0
0,0,0,0,0,1673,5049,387,81,7,0,0,78,63,57,0,151,181,78,39,33,8,21,5,2,14,19,21,24,57,102,61,76,60,80,74,94,72,80,71,72,83,84,76,62,75,71,12,15,29,23,12,18,20,23,24,15,397,479,487,461,2,0,0,0,0,3410,6339,737,726,12,0,0,1586,143,115,0,58,807,21,6,1.48,8,0,6,0,5,4,45,0,0,316,416,0,28.6,15.2,84.8,98.8,367,0,0,0,0,2655,1388,26,14,70,429,352,11209,0,0,1676,417,41,8,732,0,0,0
8,0,4,7,0,766,1977,266,26,2,10,9,48,50,33,0,88,114,48,21,28,1,11,1,0,13,16,9,10,33,45,26,23,21,35,35,27,25,29,38,26,40,39,32,21,42,36,5,10,8,7,9,7,10,11,10,10,225,193,205,208,10,1,7,31,0,1521,2462,518,339,2,10,12,690,77,63,0,30,443,10,3,1.47,4,3,0,0,5,5,45,1,7,145,256,0,32.3,18.7,81.3,94.6,224,74,0,61,53,1273,674,9,16,36,223,155,4169,0,87,1077,3.07e+03,78,33,443,63,4,0
1,0,0,0,0,491,1305,154,28,2,2,0,31,26,21,0,58,62,13,10,16,0,4,3,1,10,10,5,6,14,29,27,24,15,19,25,30,20,23,24,18,22,18,27,17,20,29,4,6,7,10,6,7,8,6,3,5,118,148,128,136,3,0,0,5,0,995,1637,342,274,3,2,0,483,48,38,0,17,260,36,67,1.51,10,0,4,0,5,5,47,0,0,222,252,0,34.3,15.2,84.8,92.2,109,0,0,0,0,1486,849,8,13,37,305,212,7448,0,0,1173,5.42e+03,112,86,481,23,0,0
0,0,0,0,0,554,1691,195,14,0,0,0,14,20,23,0,65,72,30,11,17,4,8,1,2,3,3,6,2,23,24,24,26,14,22,28,24,17,27,36,21,21,23,24,27,22,28,10,6,5,7,6,7,7,10,4,11,137,160,131,161,2,0,0,0,0,1098,2118,400,235,1,0,0,493,50,44,0,21,295,1,15,1.43,6,0,0,0,5,4,40,0,0,138,133,0,24,17.9,82.1,96.3,145,0,0,0,0,986,535,5,4,31,172,139,3649,0,0,683,769,30,28,271,0,0,0
3,0,3,3,0,697,4481,236,22,1,7,4,27,31,24,12,93,100,35,17,19,6,7,3,0,4,6,5,12,23,34,26,33,27,36,27,35,32,40,33,32,24,30,27,23,29,40,11,16,10,12,18,6,18,9,15,9,185,177,183,199,5,2,3,12,0,1379,5607,480,265,1,7,4,627,67,52,28,16,454,8,0,1.38,4,0,0,0,5,3,48,1,3,77,124,32,28.2,17.5,82.5,93.1,187,56,3,39,35,826,438,8,7,22,131,70,6168,8,29,550,5.37e+03,76,17,234,6,1,0
